section,subsection,shapefile,heading,lookup_value,intensity,image,text,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,57,,,In 1914 61 acres burned in this location. That is equal to about 55.4 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,58,,,In 1914 77 acres burned in this location. That is equal to about 70 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,59,,,In 1915 49 acres burned in this location. That is equal to about 44.5 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,60,,,In 1915 70 acres burned in this location. That is equal to about 63.6 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,61,,,In 1915 36 acres burned in this location. That is equal to about 32.7 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,62,,,In 1915 23 acres burned in this location. That is equal to about 20.9 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,63,,,In 1917 82 acres burned in this location. That is equal to about 74.5 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,64,,,In 1917 1769 acres burned in this location. That is equal to about 1608 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,65,,,In 1917 3005 acres burned in this location. That is equal to about 2731 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,66,,,In 1917 1094 acres burned in this location. That is equal to about 994. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,67,,,In 1917 37 acres burned in this location. That is equal to about 33.6 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,68,,,In 1917 98 acres burned in this location. That is equal to about 89.0 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,69,,,In 1917 169 acres burned in this location. That is equal to about 153. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,70,,,In 1917 183 acres burned in this location. That is equal to about 166. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,71,,,In 1917 47 acres burned in this location. That is equal to about 42.7 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,72,,,In 1917 84 acres burned in this location. That is equal to about 76.3 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,73,,,In 1917 27 acres burned in this location. That is equal to about 24.5 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,74,,,In 1917 345 acres burned in this location. That is equal to about 313. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,75,,,In 1917 29 acres burned in this location. That is equal to about 26.3 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,76,,,In 1917 29 acres burned in this location. That is equal to about 26.3 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,77,,,In 1917 1373 acres burned in this location. That is equal to about 1248 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,78,,,In 1917 200 acres burned in this location. That is equal to about 181. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,79,,,In 1917 4773 acres burned in this location. That is equal to about 4339 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,80,,,In 1918 41 acres burned in this location. That is equal to about 37.2 footbal fields.,,,
